step,rh_FFJ1,rh_FFJ2
231,-1.842220,-0.000000
232,-1.703396,-0.000000
233,-1.569161,-0.000000
234,-1.438028,-0.000000
235,-1.295257,-0.000000
236,-1.220818,-0.000000
237,-1.085934,-0.000000
238,-0.971985,-0.000000
239,-0.876342,-0.000000
240,-0.793441,-0.000000
241,-0.705154,-0.000000
242,-1.607297,-0.000000
243,-2.641748,-0.000000
244,-3.772389,-0.000000
245,-3.926137,-0.000000
246,-3.709622,-0.000000
247,-3.432093,-0.000000
248,-2.509688,-0.000000
249,-2.638185,-0.000000
250,-0.486480,0.000000
251,1.631697,0.000000
252,3.443940,0.000000
253,1.635070,0.000000
254,0.502241,0.000000
255,0.494872,0.000000
256,0.035498,0.000000
257,1.722179,0.000000
258,1.367831,0.000000
259,2.082272,0.000000
260,2.453913,0.000000
261,3.905580,0.000000
262,5.615084,0.000000
263,5.200655,0.000000
264,6.757891,0.000000
265,7.374770,0.000000
266,8.023649,0.000000
267,7.616771,0.000000
268,5.606708,0.000000
269,3.062926,0.000000
270,0.882077,0.000000
271,-0.218702,0.000000
272,0.021402,0.000000
273,-0.324387,0.000000
274,-0.051892,0.000000
275,0.572599,0.000000
276,1.545333,0.000000
277,3.116632,0.000000
278,3.693795,0.000000
279,5.461359,0.000000
280,4.973692,0.000000
281,6.537397,0.000000
282,6.428112,0.000000
283,6.656509,0.000000
284,6.247343,0.000000
285,6.201137,0.000000
286,6.331259,0.000000
287,6.418891,0.000000
288,6.528061,0.000000
289,6.564314,0.000000
290,6.691421,0.000000
291,6.820985,0.000000
292,6.912857,0.000000
293,6.943860,0.000000
294,6.992612,0.000000
295,7.086958,0.000000
296,7.168277,0.000000
297,7.193573,0.000000
298,7.225707,0.000000
299,7.234423,0.000000
300,7.281592,0.000000
301,7.393539,0.000000
302,7.548097,0.000000
303,7.657541,0.000000
304,7.685329,0.000000
305,7.724979,0.000000
306,7.771169,0.000000
307,7.812500,0.000000
308,7.899252,0.000000
309,7.939186,0.000000
310,7.951887,0.000000
311,7.984318,0.000000
312,8.057262,0.000000
313,8.199753,0.000000
314,8.282008,0.000000
315,8.343558,0.000000
316,8.073288,0.000000
317,7.871715,0.000000
318,7.810052,0.000000
319,7.800597,0.000000
320,7.876261,0.000000
321,7.916417,0.000000
322,8.092572,0.000000
323,8.257173,0.000000
324,8.558967,0.000000
325,8.789607,0.000000
326,8.927837,0.000000
327,9.012422,0.000000
328,9.094294,0.000000
329,9.123151,0.000000
330,9.138708,0.000000
331,9.163007,0.000000
332,9.193785,0.000000
333,9.139540,0.000000
334,9.109479,0.000000
335,9.193938,0.000000
336,9.348320,0.000000
337,9.538523,0.000000
338,9.613360,0.000000
339,9.810648,0.000000
340,11.377323,0.000000
341,14.285750,0.000000
342,15.402821,0.000000
343,15.512462,0.000000
344,15.574730,0.000000
345,15.904101,0.000000
346,15.893815,0.000000
347,15.494893,0.000000
348,15.276280,0.000000
349,14.740952,0.000000
350,14.614277,0.000000
351,14.177285,0.000000
352,13.701216,0.000000
353,12.831412,0.000000
354,12.363847,0.000000
355,12.327671,0.000000
356,12.476215,-0.000000
357,12.465087,-0.000000
358,12.405007,0.000000
359,12.093760,0.000000
360,11.647883,0.000000
361,11.676402,0.000000
362,11.264058,0.000000
363,11.299243,0.000000
364,11.029944,0.000000
365,10.833790,0.000000
366,10.269028,0.000000
367,9.529449,0.000000
368,8.510329,0.000000
369,7.780146,0.000000
370,6.930464,0.000000
371,5.655684,0.000000
372,4.537947,0.000000
373,3.961684,0.000000
374,3.729180,0.000000
375,3.288013,0.000000
376,2.842383,0.000000
377,2.625029,0.000000
378,1.674101,0.000000
379,1.206854,0.000000
380,0.256655,0.000000
381,-0.110120,0.000000
382,-0.283068,-0.000000
383,-0.245621,-0.000000
384,-0.480139,-0.000000
385,-0.543481,-0.000000
386,-1.286583,-0.000000
387,-1.232655,-0.000000
388,-1.368224,-0.000000
389,-1.837743,-0.000000
390,-2.148337,-0.000000
391,-2.334210,-0.000000
392,-1.938207,-0.000000
393,-2.198700,-0.000000
394,-1.724218,-0.000000
395,-1.184800,-0.000000
396,-1.451783,-0.000000
397,-0.816850,-0.000000
398,-0.173741,-0.000000
399,0.457725,-0.000000
400,1.288993,0.000000
401,1.573364,0.000000
402,1.974373,0.000000
403,2.066356,0.000000
404,2.677927,0.000000
405,3.717046,0.000000
406,4.447823,0.000000
407,5.121421,0.000000
408,5.230842,0.000000
409,6.746358,0.000000
410,5.759737,-0.000000
411,6.062664,-0.000000
412,6.910728,-0.000000
413,7.666683,-0.000000
414,8.380333,-0.000000
415,8.788804,-0.000000
416,7.890280,-0.000000
417,7.506042,-0.000000
418,5.587733,-0.000000
419,5.580301,-0.000000
420,5.689785,-0.000000
421,5.063350,-0.000000
422,4.409799,0.000000
423,4.434752,-0.000000
424,4.257401,-0.000000
425,3.988035,-0.000000
426,3.282604,-0.000000
427,1.949543,-0.000000
428,1.316981,-0.000000
429,0.451703,-0.000000
430,0.264860,-0.000000
431,0.379767,-0.000000
432,-0.183068,-0.000000
433,0.322696,-0.000000
434,0.133696,-0.000000
435,0.063171,-0.000000
436,-0.093024,-0.000000
437,-0.474932,-0.000000
438,-0.458315,-0.000000
439,-1.084816,-0.000000
440,-1.443815,-0.000000
441,-1.397173,-0.000000
442,-1.790060,-0.000000
443,-2.033216,-0.000000
444,-1.924313,-0.000000
445,-2.075875,-0.000000
446,-1.487636,-0.000000
447,-1.022283,-0.000000
448,-0.534421,-0.000000
449,-0.172988,-0.000000
450,0.280911,-0.000000
451,1.316915,-0.000000
452,1.506691,0.000000
453,2.164916,0.000000
454,2.592962,0.000000
455,2.537179,0.000000
456,2.973743,0.000000
457,3.757813,0.000000
458,3.989739,0.000000
459,3.977493,0.000000
460,4.261062,0.000000
461,4.529724,0.000000
462,5.871258,0.000000
463,6.796966,0.000000
464,7.426785,0.000000
465,7.565021,0.000000
466,7.457429,0.000000
467,7.568767,0.000000
468,7.308246,0.000000
469,6.584891,0.000000
470,6.772511,0.000000
471,6.569835,0.000000
472,5.704422,0.000000
473,5.806882,0.000000
474,5.296657,0.000000
475,5.193340,0.000000
476,4.864440,0.000000
477,4.382719,0.000000
478,3.691929,0.000000
479,3.294615,0.000000
480,2.628960,0.000000
481,2.228968,-0.000000
482,1.934761,-0.000000
483,1.893421,-0.000000
484,1.862421,-0.000000
485,1.861810,0.000000
486,1.618092,-0.000000
487,1.430065,-0.000000
488,1.164007,-0.000000
489,1.528286,-0.000000
490,1.319982,-0.000000
491,1.422688,0.000000
492,1.634248,0.000000
493,1.882256,0.000000
494,3.256360,0.000000
495,3.555377,0.000000
496,4.437781,0.000000
497,3.334776,0.000000
498,2.210848,0.000000
499,3.317198,0.000000
500,3.963966,0.000000
501,3.561614,0.000000
502,3.011632,0.000000
503,3.946537,0.000000
504,4.647147,0.000000
505,5.560287,0.000000
506,5.246903,0.000000
507,5.792206,0.000000
508,6.108794,0.000000
509,6.074227,0.000000
510,6.404517,0.000000
511,6.396591,0.000000
512,6.418898,0.000000
513,6.168332,0.000000
514,6.152646,0.000000
515,6.406906,0.000000
516,6.057381,0.000000
517,5.426381,0.000000
518,4.914213,0.000000
519,4.574139,0.000000
520,4.850278,0.000000
521,4.766706,0.000000
522,4.322683,0.000000
523,4.069477,0.000000
524,4.172931,0.000000
525,4.455805,0.000000
526,4.335052,0.000000
527,4.248734,0.000000
528,4.029629,0.000000
529,3.973499,0.000000
530,3.927251,0.000000
531,3.625714,0.000000
532,3.441246,0.000000
533,3.548049,0.000000
534,3.563405,0.000000
535,3.362846,0.000000
536,2.953693,0.000000
537,2.644830,0.000000
538,2.826763,0.000000
539,2.868333,0.000000
540,2.724225,0.000000
541,2.471657,0.000000
542,2.610555,0.000000
543,2.683633,0.000000
544,2.507297,0.000000
545,2.306687,0.000000
546,2.087446,0.000000
547,2.139322,0.000000
548,2.233091,0.000000
549,2.245479,0.000000
550,2.185372,0.000000
551,2.311457,0.000000
552,2.507316,0.000000
553,2.469814,0.000000
554,2.680220,0.000000
555,2.831908,0.000000
556,2.737010,0.000000
557,2.708308,0.000000
558,2.680700,0.000000
559,2.971116,0.000000
560,3.045760,0.000000
561,2.842964,0.000000
562,2.401352,0.000000
563,2.554992,0.000000
564,3.530511,0.000000
565,3.190689,0.000000
566,3.038223,0.000000
567,2.664242,0.000000
568,2.770782,0.000000
569,3.400140,0.000000
570,3.441544,0.000000
571,3.678534,0.000000
572,4.832925,0.000000
573,4.730722,0.000000
574,4.639246,0.000000
575,4.657835,0.000000
576,4.526192,0.000000
577,4.035499,0.000000
578,3.697297,0.000000
579,3.563403,0.000000
580,3.045900,0.000000
581,3.000887,0.000000
582,3.463006,0.000000
583,3.743562,0.000000
584,4.564997,0.000000
585,4.580638,0.000000
586,4.558406,0.000000
587,4.625441,0.000000
588,4.103096,0.000000
589,4.071564,0.000000
590,3.969037,0.000000
591,3.741482,0.000000
592,3.717143,0.000000
593,3.911915,0.000000
594,3.720312,0.000000
595,4.189594,0.000000
596,4.644760,0.000000
597,4.218380,0.000000
598,4.059170,0.000000
599,4.339166,0.000000
600,4.497683,0.000000
601,4.267944,0.000000
602,4.604681,0.000000
603,4.903939,0.000000
604,5.224844,0.000000
605,5.552253,0.000000
606,5.638600,0.000000
607,6.129756,0.000000
608,5.885323,0.000000
609,5.730942,0.000000
610,5.349896,0.000000
611,4.685246,0.000000
612,4.425073,0.000000
613,4.458536,0.000000
614,4.618114,0.000000
615,4.585721,0.000000
616,4.847486,0.000000
617,4.571781,0.000000
618,4.143689,0.000000
619,4.108975,0.000000
620,4.111892,0.000000
621,4.035772,0.000000
622,3.844724,0.000000
623,4.251820,0.000000
624,3.978127,0.000000
625,4.068182,0.000000
626,3.457170,0.000000
627,3.157489,0.000000
628,3.168715,0.000000
629,1.761349,0.000000
630,3.980232,0.000000
631,3.866520,0.000000
632,3.418969,0.000000
633,3.772716,0.000000
634,3.641632,0.000000
635,4.782397,0.000000
636,4.615969,0.000000
637,4.605354,0.000000
638,4.176960,0.000000
639,5.126090,0.000000
640,5.980439,0.000000
641,6.351674,0.000000
642,6.700578,0.000000
643,7.311331,0.000000
644,7.640252,0.000000
645,8.131971,0.000000
646,8.482649,0.000000
647,8.272269,0.000000
648,9.121243,0.000000
649,10.104609,0.000000
650,10.350325,0.000000
651,11.016783,0.000000
652,10.437836,0.000000
653,9.421676,0.000000
654,9.072367,0.000000
655,10.337740,0.000000
656,10.489561,0.000000
657,10.063764,0.000000
658,10.343658,0.000000
659,10.148181,0.000000
660,9.500070,0.000000
661,8.992232,0.000000
662,7.237412,0.000000
663,5.874092,0.000000
664,4.148763,0.000000
665,3.087903,0.000000
666,1.665145,-0.000000
667,0.286789,-0.000000
668,-0.119096,-0.000000
669,-0.690948,-0.000000
670,-1.173307,-0.000000
671,-1.848501,-0.000000
672,-2.161895,-0.000000
673,-2.193739,-0.000000
674,-2.390566,-0.000000
675,-2.333199,-0.000000
676,-2.492755,-0.000000
677,-2.320924,-0.000000
678,-2.004658,-0.000000
679,-2.016844,-0.000000
