step,rh_FFJ1,rh_FFJ2
0,-0.025523,-0.000000
1,0.004913,-0.000000
2,0.026497,0.000000
3,0.040226,0.000000
4,0.052369,0.000000
5,0.022741,0.000000
6,-0.026033,0.000000
7,-0.052843,-0.000000
8,-0.053862,-0.000000
9,-0.046017,-0.000000
10,-0.058171,-0.000000
11,-0.075050,-0.000000
12,-0.084414,-0.000000
13,-0.092918,-0.000000
14,-0.080338,-0.000000
15,-0.065091,-0.000000
16,-0.057133,-0.000000
17,-0.050502,-0.000000
18,-0.047151,-0.000000
19,-0.046091,-0.000000
20,-0.043650,-0.000000
21,-0.037322,-0.000000
22,-0.028252,-0.000000
23,-0.022980,-0.000000
24,-0.019922,-0.000000
25,-0.017327,0.000000
26,-0.016786,0.000000
27,-0.016912,0.000000
28,-0.015484,0.000000
29,-0.012661,0.000000
30,-0.010599,0.000000
31,-0.010132,0.000000
32,-0.010170,0.000000
33,-0.010652,0.000000
34,-0.011660,0.000000
35,-0.012375,0.000000
36,-0.012492,0.000000
37,-0.012705,0.000000
38,-0.013671,0.000000
39,-0.015141,0.000000
40,-0.016687,0.000000
41,-0.018282,0.000000
42,-0.019798,0.000000
43,-0.021000,0.000000
44,-0.022028,0.000000
45,-0.023189,0.000000
46,-0.024487,0.000000
47,-0.025674,0.000000
48,-0.026663,0.000000
49,-0.027483,0.000000
50,-0.028083,0.000000
51,-0.028468,0.000000
52,-0.028774,0.000000
53,-0.029066,0.000000
54,-0.029258,0.000000
55,-0.029294,0.000000
56,-0.029216,0.000000
57,-0.029045,0.000000
58,-0.028775,0.000000
59,-0.028456,0.000000
60,-0.028142,0.000000
61,-0.027818,0.000000
62,-0.027453,0.000000
63,-0.027063,0.000000
64,-0.026676,0.000000
65,-0.026291,0.000000
66,-0.025915,0.000000
67,-0.025575,0.000000
68,-0.025273,0.000000
69,-0.024993,0.000000
70,-0.024732,0.000000
71,-0.024503,0.000000
72,-0.024308,0.000000
73,-0.024141,0.000000
74,-0.024009,0.000000
75,-0.023914,0.000000
76,-0.023848,0.000000
77,-0.023803,0.000000
78,-0.023782,0.000000
79,-0.023784,0.000000
80,-0.023806,0.000000
81,-0.023845,0.000000
82,-0.023900,0.000000
83,-0.023968,0.000000
84,-0.024043,0.000000
85,-0.024123,0.000000
86,-0.024208,0.000000
87,-0.024296,0.000000
88,-0.024383,0.000000
89,-0.024469,0.000000
90,-0.024552,0.000000
91,-0.024629,0.000000
92,-0.024701,0.000000
93,-0.024766,0.000000
94,-0.024824,0.000000
95,-0.024875,0.000000
96,-0.024918,0.000000
97,-0.024954,0.000000
98,-0.024982,0.000000
99,-0.025002,0.000000
100,-0.025015,0.000000
101,-0.025023,0.000000
102,-0.025024,0.000000
103,-0.025021,0.000000
104,-0.025013,0.000000
105,-0.025002,0.000000
106,-0.024987,0.000000
107,-0.024969,0.000000
108,-0.024950,0.000000
109,-0.024930,0.000000
110,-0.024909,0.000000
111,-0.024888,0.000000
112,-0.024868,0.000000
113,-0.024848,0.000000
114,-0.024828,0.000000
115,-0.024810,0.000000
116,-0.024794,0.000000
117,-0.024779,0.000000
118,-0.024766,0.000000
119,-0.024755,0.000000
120,-0.024746,0.000000
121,-0.024739,0.000000
122,-0.024732,0.000000
123,-0.024728,0.000000
124,-0.024726,0.000000
125,-0.024725,0.000000
126,-0.024725,0.000000
127,-0.024726,0.000000
128,-0.024729,0.000000
129,-0.024732,0.000000
130,-0.024735,0.000000
131,-0.024740,0.000000
132,-0.024745,0.000000
133,-0.024749,0.000000
134,-0.024755,0.000000
135,-0.024759,0.000000
136,-0.024764,0.000000
137,-0.024769,0.000000
138,-0.024773,0.000000
139,-0.024778,0.000000
140,-0.024781,0.000000
141,-0.024784,0.000000
142,-0.024788,0.000000
143,-0.024790,0.000000
144,-0.024792,0.000000
145,-0.024794,0.000000
146,-0.024795,0.000000
147,-0.024795,0.000000
148,-0.024795,0.000000
149,-0.024796,0.000000
150,-0.024796,0.000000
151,-0.024795,0.000000
152,-0.024795,0.000000
153,-0.024794,0.000000
154,-0.024793,0.000000
155,-0.024792,0.000000
156,-0.024791,0.000000
157,-0.024790,0.000000
158,-0.024788,0.000000
159,-0.024787,0.000000
160,-0.024786,0.000000
161,-0.024785,0.000000
162,-0.024784,0.000000
163,-0.024783,0.000000
164,-0.024782,0.000000
165,-0.024781,0.000000
166,-0.024781,0.000000
167,-0.024780,0.000000
168,-0.024780,0.000000
169,-0.024779,0.000000
170,-0.024779,0.000000
171,-0.024779,0.000000
172,-0.024779,0.000000
173,-0.024779,0.000000
174,-0.024779,0.000000
175,-0.024779,0.000000
176,-0.024779,0.000000
177,-0.024780,0.000000
178,-0.024780,0.000000
179,-0.024780,0.000000
180,-0.024780,0.000000
181,-0.024781,0.000000
182,-0.024781,0.000000
183,-0.024781,0.000000
184,-0.024782,0.000000
185,-0.024782,0.000000
186,-0.024782,0.000000
187,-0.024782,0.000000
188,-0.024782,0.000000
189,-0.024782,0.000000
190,-0.024783,0.000000
191,-0.024783,0.000000
192,-0.024783,0.000000
193,-0.024783,0.000000
194,-0.024783,0.000000
195,-0.024783,0.000000
196,-0.024783,0.000000
197,-0.024783,0.000000
198,-0.024783,0.000000
199,-0.024783,0.000000
200,-0.024783,0.000000
201,-0.024783,0.000000
202,-0.024783,0.000000
203,-0.024782,0.000000
204,-0.024782,0.000000
205,-0.024782,0.000000
206,-0.024782,0.000000
207,-0.024782,0.000000
208,-0.024782,0.000000
209,-0.024782,0.000000
210,-0.024782,0.000000
211,-0.024781,0.000000
212,-0.024782,0.000000
213,-0.024782,0.000000
214,-0.024782,0.000000
215,-0.024782,0.000000
216,-0.024782,0.000000
217,-0.024782,0.000000
218,-0.024782,0.000000
219,-0.024782,0.000000
220,-0.024782,0.000000
221,-0.024782,0.000000
222,-0.024782,0.000000
223,-0.024782,0.000000
224,-0.024782,0.000000
225,-0.024782,0.000000
226,-0.024782,0.000000
227,-0.024783,0.000000
228,-0.020828,0.000000
229,-0.018679,0.000000
230,-0.005967,0.000000
231,0.011651,0.000000
232,0.032067,0.000000
233,0.056965,0.000000
234,0.081303,0.000000
235,0.109260,0.000000
236,0.139440,0.000000
237,0.157100,0.000000
238,0.173285,0.000000
239,0.197716,0.000000
240,0.224073,0.000000
241,0.264653,0.000000
